月份區域別,一月,二月,三月,四月,五月,六月,七月,八月,九月,十月,十一月,十二月
桃園區,310,149,263,208,306,200,187,180,192,303,226,340
中壢區,287,183,237,183,283,199,197,167,175,303,232,295
大溪區,55,41,58,28,65,50,35,38,36,64,46,70
楊梅區,102,79,96,80,117,115,93,77,71,119,81,133
蘆竹區,125,77,95,74,115,73,66,57,73,102,89,109
大園區,61,32,55,41,62,51,37,40,34,56,48,81
龜山區,112,60,86,66,114,87,87,66,65,120,87,110
八德區,158,104,111,108,144,109,92,104,99,155,136,157
龍潭區,82,49,78,47,77,51,64,65,61,84,47,93
平鎮區,147,99,117,91,139,115,98,101,103,152,130,160
新屋區,32,12,26,17,31,23,22,16,14,44,30,31
觀音區,25,23,33,32,39,33,29,25,21,50,45,41
復興區,4,4,6,1,11,3,5,5,2,7,6,2